,Topic_Num,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.503,"management, conservation, fishery, resource, risk, human, approach, climate_change, strategy, ecosystem","The Adaptation for Conservation Targets (ACT) Framework: A Tool for Incorporating Climate Change into Natural Resource Management As natural resource management agencies and conservation organizations seek guidance on responding to climate change, myriad potential actions and strategies have been proposed for increasing the long-term viability of some attributes of natural systems. Managers need practical tools for selecting among these actions and strategies to develop a tailored management approach for specific targets at a given location. We developed and present one such tool, the participatory Adaptation for Conservation Targets (ACT) framework, which considers the effects of climate change in the development of management actions for particular species, ecosystems and ecological functions. Our framework is based on the premise that effective adaptation of management to climate change can rely on local knowledge of an ecosystem and does not necessarily require detailed projections of climate change or its effects. We illustrate the ACT framework by applying it to an ecological function in the Greater Yellowstone Ecosystem (Montana, Wyoming, and Idaho, USA)--water flows in the upper Yellowstone River. We suggest that the ACT framework is a practical tool for initiating adaptation planning, and for generating and communicating specific management interventions given an increasingly altered, yet uncertain, climate."
1,1.0,0.6275,"high, increase, low, result, temperature, show, compare, difference, decrease, suggest","Structure, thermodynamic and transport properties of liquid MgSiO3: Comparison of molecular models and laboratory results Liquid MgSiO3 is a model for the Earths magma ocean and of remnant melt present near the coremantle boundary. Here, models for molten MgSiO3 are computed employing empirical potential molecular dynamics (EPMD) and results are compared to published results including two EPMD studies and three first-principles molecular dynamics (FPMD) models and to laboratory data. The EPMD results derived from the Oganov (OG) potential come closest to the density of MgSiO3 liquid at the 1-bar melting point inferred from the melting curve. At higher P, EPMD densities calculated from the OG potential and FPMD broadly match shock wave studies, with the OG potential yielding the better comparison. Matsui (M) potential results deviate from other studies above º50GPa. Overall, results based on the OG potential compare best to experimental densities over the PT range of the mantle. Isothermally, upon increasing P the mean coordination numbers ( CN ) of oxygen around Si and Mg monotonically increase with pressure. Tetrahedral Si and octahedral Si monotonically increase and decrease, respectively, whereas pentahedral Si maximizes at 1020GPa. Tetrahedral Mg decreases monotonically as P increases whereas pentahedral, octahedral and higher coordination polyhedra each show similar behavior first increasing and then decreasing after attaining a maximum; the P of the maximum for each polyhedra type migrates to higher P as the CN increases. Free oxygen and oxygen with one nearest neighbor of either Si or Mg decreases whereas Si or Mg with two or three nearest oxygens (i.e., tricluster oxygen) increases with increasing P isothermally. The increase of tricluster oxygen is consistent with spectroscopy on MgSiO3 glass quenched from 2000K and 040GPa and high-energy X-ray studies constraining the coordination of O around Mg and around Si at 2300K and 1bar. Coordination statistics from FPMD studies for O around Si and Si around O are in agreement with the EPMD results based on the M and OG potentials. Mg self-diffusivity is greater than O and Si self-diffusivities for both the M and OG potentials. All D values monotonically decrease with increasing pressure isothermally and all atoms are more diffusive in the M liquid compared to the OG liquid except at T >º5000K and P >100GPa. Previously published EPMD diffusivities fall between values given by the M and OG potentials, at least up to 45GPa. The M liquid is generally less viscous than the OG liquid except at P >º80GPa. Activation energy and volume are around 96kJ/mol and 1.5cm3/mol, respectively. The FPMD viscosity results at 120GPa and 4000 and 4500K are essentially identical to the values from the M and OG potentials. FPMD viscosity results are similar to the OG results for P <60GPa; at higher P, the FPMD viscosities are higher. At 4000K and 100GPa the shear viscosity of liquid MgSiO3 is º0.1Pas. More extensive laboratory results are required to better define the thermodynamic, transport and structural properties of MgSiO3 liquids and for comparison with computational studies."
2,2.0,0.5782,"age, record, rock, date, early, ice, core, monazite, formation, ca","Metamorphic history of a syn convergent orogen parallel detachment: The South Tibetan detachment system, Bhutan Himalaya The South Tibetan detachment system (STDS) in the Himalayan orogen is an example of normal-sense displacement on an orogen-parallel shear zone during lithospheric contraction. Here, in situ monazite U(Th)Pb geochronology is combined with metamorphic pressure and temperature estimates to constrain pressuretemperaturetime (PTt) paths for both the hangingwall and footwall rocks of a Miocene ductile component of the STDS (outer STDS) now exposed in the eastern Himalaya. The outer STDS is located south of a younger, ductile/brittle component of the STDS (inner STDS), and is characterized by structurally upward decreasing metamorphic grade corresponding to a transition from sillimanite-bearing Greater Himalayan sequence rocks in the footwall with garnet that preserves diffusive chemical zoning to staurolite-bearing Chekha Group rocks in the hangingwall, with garnet that records prograde chemical zoning. Monazite ages indicate that prograde garnet growth in the footwall occurred prior to partial melting at 22.6 0.4 Ma, and that peak temperatures were reached following c. 20.5 Ma. In contrast, peak temperatures were reached in the Chekha Group hangingwall by c. 22 Ma. Normal-sense (top-to-the-north) shearing in both the hangingwall and footwall followed peak metamorphism from c. 23 Ma until at least c. 16 Ma. Retrograde PTt paths are compatible with modelled PTt paths for an outer STDS analogue that is isolated from the inner STDS by intervening extrusion of a dome of mid-crustal material."
3,3.0,0.557,"sediment, river, rate, flow, watershed, channel, basin, stream, erosion, landscape","Sinuosity evolution along an incising channel: New insights from the Jordan River response to the Dead Sea level fall The geomorphic evolution of the Jordan River in recent decades indicates that interaction between incision and highmagnitude floods controls sinuosity changes under increasing mouth gradients during baselevel fall. The evolution of the river was analyzed based on digital elevation models, remotely sensed imagery, hydrometric data, and a hydraulic model. The response varies along the river. Near the river mouth, where incision rate is high and a deep channel forms, overbank flooding is less likely. There, large floods exert high shear stress within the confined channel, increasing sinuosity. Upstream, near the migrating knickzone channel gradients also increase, incision is more moderate and floods continue to overtop the banks, favoring meander chute cutoffs. The resulting channel has a downstream wellconfined meandering segment and an upstream lowsinuosity segment. These new insights regarding spatial differences along an incising channel can improve interpretations of the evolution of ancient planforms and floodplains that responded to baselevel decline. 2018 John Wiley & Sons, Ltd. The geomorphic evolution of the Jordan River in recent decades indicates that interaction between incision and highmagnitude floods controls sinuosity changes under increasing mouth gradients during baselevel fall. Near the river mouth, in a confining segment, overbank flooding is less likely and high shear stress results in increased sinuosity. Upstream, where incision is more moderate and floods overtop the banks, meander chute cutoffs are favored and result in lowsinuosity segments."
4,4.0,0.4811,"model, scale, spatial, base, approach, predict, estimate, develop, method, distribution","Regional regression models of percentile flows for the contiguous US: Expert versus data-driven independent variable selection Percentile flows are statistics derived from the flow duration curve (FDC) that describe the flow equaled or exceeded for a given percent of time. These statistics provide important information for managing rivers, but are often unavailable since most basins are ungauged. A common approach for predicting percentile flows is to deploy regional regression models based on gauged percentile flows and related independent variables derived from physical and climatic data. The first step of this process identifies groups of basins through a cluster analysis of the independent variables, followed by the development of a regression model for each group. This entire process hinges on the independent variables selected to summarize the physical and climatic state of basins. Distributed physical and climatic datasets now exist for the contiguous United States (US). However, it remains unclear how to best represent these data for the development of regional regression models. The study presented here developed regional regression models for the contiguous US, and evaluated the effect of different approaches for selecting the initial set of independent variables on the predictive performance of the regional regression models. An expert assessment of the dominant controls on the FDC was used to identify a small set of independent variables likely related to percentile flows. A data-driven approach was also applied to evaluate two larger sets of variables that consist of either (1) the averages of data for each basin or (2) both the averages and statistical distribution of basin data distributed in space and time. The small set of variables from the expert assessment of the FDC and two larger sets of variables for the data-driven approach were each applied for a regional regression procedure. Differences in predictive performance were evaluated using 184 validation basins withheld from regression model development. The small set of independent variables selected through expert assessment produced similar, if not better, performance than the two larger sets of variables. A parsimonious set of variables only consisted of mean annual precipitation, potential evapotranspiration, and baseflow index. Additional variables in the two larger sets of variables added little to no predictive information. Regional regression models based on the parsimonious set of variables were developed using 734 calibration basins, and were converted into a tool for predicting 13 percentile flows in the contiguous US. Supplementary Material for this paper includes an R graphical user interface for predicting the percentile flows of basins within the range of conditions used to calibrate the regression models. The equations and performance statistics of the models are also supplied in tabular form."
5,5.0,0.5933,"process, system, understand, study, role, important, structure, provide, complex, interaction",III: Medium: Collaborative Research: Citing Structured and Evolving Data Citation is an essential part of scientific and scholarly publishing: it is used to gauge the trust placed in published data and for better or worse is an important factor in judging academic reputation. Now that much scientific publishing especially data publishing takes place through a database rather than conventional journals how should something that is found in a database be cited? More generally how should digital data that is stored in a repository with internal structure and which is subject to change be cited? This is the case for the very large number of curated databases through which much scientific publishing now takes place; it is also true of most scientific data collections which are seldom stable. There has recently been substantial interest in the problem of data citation and various organizations have proposed structures for the format and content of citations; however most proposals do not address issues of structure and change that are intrinsic to databases. The focus of this proposal is to develop a framework for data citation which takes into account the following issues: (1) the potentially very large number of possible citations; (2) citations should be both human and machine readable; and (3) citations must conform to specifications prescribed by both the publishers of the data and by the various standards that are being established. All these give rise to interesting computational challenges: citations must be generated automatically from the data; the source data must be guaranteed to support the generation of these citations; and the generated citations must be guaranteed to conform to the specifications. Of course as with any computational problem all this must be done efficiently. Citation is also closely related to provenance and issues of reproducible results. Workflows executable papers and microcitations have all been proposed to support reproducible analysis of data. The work of this project will explore the connections between these ideas and where possible establish a common framework. For many databases the publishers and authors have a clear idea of how they would like their data to be cited and there is enough information in the database to enable these citations to be generated once the right computational machinery has been developed. However interesting questions arise when a set of data to be cited is arrived at by means of a query in which case the query itself may need to be included (an actionable citation). In other cases the navigational structure needed for meaningful citation such as in the case with linked open data or RDF which are ostensibly large amorphous graphs may be missing. The challenge here is to find techniques for discovering or adding that structure to provide the necessary basis for citation. 
6,6.0,0.5877,"specie, population, community, effect, diversity, abundance, individual, ecosystem, biomass, find",Collaborative Research: Demographic heterogeneity in landscapes and communities Variation in phenotypic traits occurs within all populations. This in turn creates variation in demo- graphic traits — the propensity to survive more or less or to have more or fewer offspring (contrast with the actual life history an organism experiences — its demographic fate; see Kendall & Fox 2003) as well as individual growth and dispersal rates. While ecologists do use models (like linear matrix models) that classify individuals by age stage or size and sex most assume that in doing so they have captured suffi- cient variation so that further variation is simply noise of small amplitude. This is not necessarily the case. This variation in traits occurs even when within categories such as age stage size or sex. We use the term demographic heterogeneity to refer collectively to the variation in birth death growth and dispersal rates among individuals in an age stage or size class. Demographic heterogeneity can be produced by various mechanisms including genetic variabil- ity(Yashin et al. 1999 Ducrocq et al. 2000 Gerdes et al. 2000 Casellas et al. 2004 Isberg et al. 2006)spatial heterogeneity in the habitat(Gates and Gysel 1978 Boulding and Van Alstyne 1993 Menge et al. 1994 Winter et al. 2000 Franklin et al. 2000 Manolis et al. 2002 Bollinger and Gavin 2004 Landis et al. 2005) unequal allocation of parental care(e.g. Johnstone 2004; Manser&Avey 2000) seed heter- omorphisims(e.g. Silvertown 1984; Venable &Burquez M 1990) maternal family effect (Fox et al. 2006) learned feeding preferences (Bolnick et al. 2003) and social rank (e.g. von Holst Hutzelmeyer &Kaetzke 2002). Demographic heterogeneity is taxonomically widespread. For example heterogeneity in survival has been found in crocodiles (Isberg et al. 2006) baboons (Bronikowski et al. 2002) birds (Wintrebert et al. 2005 Fox et al. 2006) wild plants (Beckage and Clark 2003 Landis et al. 2005) domestic ani- mals(Ducrocq et al. 2000 Casellas et al. 2004) and humans(Yashin et al. 1999 Garibotti et al. 2006) including British aristocrats(Doblhammer and Oeppen 2003). Demographic heterogeneity has been shown to have a variety of effects on population dynamics. Heterogeneity in survival and reproduction can change the population variabliltydue to demographic sto- chasticity often reducing it relative to a homogeneous population with the same average rates. Hetero- geneity in survival if it persists throughout the life cycle creates cohort selection which in turn increases the asymptotic population growth rate and equilibrium population densities. Finally heterogeneity in dispersal ability can increase the rate at which an invading population spreads. 
7,7.0,0.6014,"snow, surface, satellite, measurement, observation, estimate, algorithm, product, soil_moisture, water","Water Vapor Retrieval Over Cloud Cover Area on Land Using AMSR-E and MODIS This study mainly discusses atmospheric water vapor retrieval over cloud cover area on land with the help of a newly developed surface emissivity parameter estimation method in microwave bands. In the retrieval method, the atmospheric water vapor sensitivity parameterratio of brightness temperature polarization difference at frequencies 18.7 and 23.8 GHz (${{\Deltab}} {\bf Tb}_{\bf 18.7}/{{\Deltab}} {\bf Tb}_{\bf 23.8}$)is used to retrieve water vapor, and the surface emissivity parameterratio of surface emissivity polarization difference at frequencies 18.7 and 23.8 GHz (${{\Deltab}} {{\varepsilonb}_{\bf 18.7}}/{{\Deltab}} {\varepsilonb}_{\bf 23.8}$) that corresponds to ${{\Deltab}} {\bf Tb}_{\bf18.7}/{{\Deltab}} {\bf Tb}_{\bf 23.8}$is a key parameter that affects the final precision of retrieved atmosphere water vapor. In order to estimate ${{\Deltab}} {{\varepsilonb}_{\bf 18.7}}/{{\Deltab}} {{\varepsilonb}_{\bf 23.8}}$ in cloudy condition, we first estimated the value of ${{\Deltab}} {{\varepsilonb}_{\bf 18.7}}/{{\Deltab}} {{\varepsilonb}_{\bf 23.8}}$ in clear condition using Advanced Microwave Scanning Radiometer for EOS (AMSR-E) brightness temperature and related MODIS atmospheric products. At the same time, it was found that gradient information derived separately from ${{\Deltab}} {\bf Tb}_{\bf 18.7}/{{\Deltab}} {\bf Tb}_{\bf 23.8}$ and ${{\Deltab}} {{\varepsilonb}_{\bf 18.7}}/{{\Deltab}} {{\varepsilonb}_{\bf 23.8}}$ has very good correlation with each other. Based on this good correlation, the ${{\Deltab}} {{\varepsilonb}_{\bf 18.7}}/{{\Deltab}} {{\varepsilonb}_{\bf 23.8}}$ in cloudy condition was estimated using corresponding ${{\Deltab}} {\bf Tb}_{\bf 18.7}/{{\Deltab}} {\bf Tb}_{\bf 23.8}$ and adjacent 8 days ${{\Deltab}} {{\varepsilonb}_{\bf 18.7}}/{{\Deltab}} {{\varepsilonb}_{\bf 23.8}}$ in clear condition. With the estimated ${{\Deltab}} {{\varepsilonb}_{\bf 18.7}}/{{\Deltab}} {{\varepsilonb}_{\bf 23.8}}$, we retrieved atmospheric column water vapor using lookup table method in cloudy condition over land. As a validation source data, the SuomiNet GPS-retrieved precipitable water (PW) vapor is used to validate the retrieved water vapor in this study. According to validation, the correlation coefficient of the two is 0.94 and the root-mean-square-error (RMSE) is 4.85 mm. It is a great improvement in water vapor retrieval using microwave in cloud cover area on land."
8,8.0,0.6166,"work, include, system, field, program, develop, provide, analysis, site, year",SCEC3 Participation: SCEC Borehole Instrumentation Center The SCEC borehole program continues to be a collaborative effort between SCEC and other agencies to maintain the existing network of borehole stations in California and to facilitate the integration of this data into CISN and the SCEC data center. The borehole program is highly leveraged taking advantage of the resources of other programs and agencies that are active in monitoring southern California earthquake activity. This data is made available online to the public and research community. The SCEC borehole data gathering effort is contributing to the overall scientific goals of the SCEC collaboratory. For example the borehole data available online at the SCEDC and at IRIS from the SCEC/PBO stations in the Anza region are providing a unique new high-resolution data set for analysis of earthquake source parameters (Priority A4) as well as providing observations of non-volcanic tremor induced events in the region following large regional and very large global earthquakes. In addition the borehole instrumentation is critical to improving our understanding of nonlinear effects and to developing methodologies to include these effects into ground motion simulations (Priority B4 B5). As has been the case for many years joint monitoring efforts continue between SCEC and the US Geological Survey and Caltech through ANSS NSMP and CISN and the California Geological Survey to maintain the existing network of borehole stations. Other collaborators include the NSF funded NEES and HPWREN programs as well as a newly funded NSF project to look at the San Jacinto Fault zone including the installation of additional borehole sensors. In 2011 SCEC borehole stations will continue to be upgraded along with the CISN network stations in southern California. This includes migration to new datalogger technology and the upgrade of surface sensors. As the SCEC borehole stations come up on the schedule for network wide upgrades we will continue to work with the SCSN field technicians during the upgrade process. The SCEC borehole program will also continue the collaboration with the NEES program (Priority B6) through processing and data dissemination of the SCEC borehole data; the SCEC/EarthScope Plate Boundary Observatory borehole strainmeter program that includes both weak- and strong-motion seismic monitoring in the Anza region; and the strong-motion borehole sensors being installed as part of a new NSF funded study of the San Jacinto fault zone.
9,9.0,0.5921,"soil, plant, ecosystem, forest, fire, water, effect, increase, drought, vegetation",Collaborative Research: Controls over C Sequestration: Physiology vs. Physics In this project we will focus on an annual grassland to evaluate the mechanisms that regulate the fate of C. Grasslands in California cover over 10 million hectares (Jackson 1985) are dominated by annual grasses and are important ecosystems in the State. However we have found comparable microbial dynamics in California grassland and Bishop pine forest so we have confidence that the mechanisms we evaluate occur in other ecosystem types as well. The research will take place at the UCSB Sedgwick Reserve which is located 50 km from the coast in the Santa Ynez Valley (43o42??30????N 120o2??30????W). The climate is Mediterranean and characteristic of interior California with hot dry summers and cool wet winters. Average rainfall is 380 mm/yr but varies widely; El Niño years are notably rainy. The soils are pachic argixerolls in valley bottoms and typic argixerolls on slopes. The vegetation is dominated by Mediterranean annual grasses including Bromus diandrus B. hordaceous and Avena fatua. Our main site will be in the Figueroa watershed previously studied by Schimel and Holden. Analyzing the mechanisms involved requires controlled microcosm experiments that will be described below but to explore how these mechanisms regulate how varying plant C inputs and moisture influence soil C storage we propose a field experiment in which we modify: 1) plant C- inputs during the growing season (by thinning) and 2) the length of the dry season (by watering & rainout shelters). We will establish 3 blocks of 16 plots each (1 m x 1m) and establish a factorial design in which we create gradients of plant inputs and the length of the summer drought. We will use modeling to integrate between the micro- and macro-scales. To modify plant inputs we will thin plots by hand to remove either 1/3 2/3 or all the biomass (plus a control). Plots will be established initially after plants germinate in the fall of 2012 and new sprouts will be removed weekly or as necessary to maintain these approximate proportions. Soil moisture is likely to vary as transpiration losses will be lower in the thinned plots but surface evaporation may partially compensate. Importantly annual grasses senescence and die shortly after seed-set not when the soils dry out. Thus at the beginning of the summer there will be a suite of plots with different amounts of dead roots to serve as substrate within the soils with relatively similar moisture conditions (depending on the timing of spring rainfall). Dry-down after senescence will be purely by evaporation. Moisture manipulations will include control lengthened summer drought shortened drought and no drought. To extend the drought we will build rainout shelters to prevent rewetting during the winter following the thinning treatments. To shorten the drought we will use weekly drip irrigation. The goal is not to keep soils constantly wet but to mimic episodic precipitation and prevent soils from drying fully. The short-drought treatment will be irrigated into July then allowed to dry normally roughly halving the length of the typical drought. The no-drought treatment will be watered into October. We will regularly weed the watered-plots during the summer to remove new sprouts. Soil moisture will be monitored continuously (using soil moisture probes and dataloggers) in the experimental plots. Soil samples will be collected from all treatments to analyze C dynamics at four points through the year: 1) At peak live plant biomass late in the growing season (April/May) 2) early summer (just before the short-drought watering ends; late June) 3) midsummer (August) and 4) the end of the dry season (October or early January for the extended drought treatment). We will collect samples from the top 10 cm and analyze the essential C pools including roots light and heavy fraction OM microbial biomass etc. As these measures will be coupled to the work specifically testing the research hypotheses we describe the details of those analyses in those sections. The field sampling will assess how environmental factors (C-supply and moisture) regulate C-pools and microbial activities and the begin identifying the mechanisms connecting them. We will couple these to laboratory incubation studies to tease apart the specific mechanisms. 
